ref,cor,url
047688,10,https://photo.anselmi.ind.br/Fotos/47688_10.jpg
014476,01,https://photo.anselmi.ind.br/Fotos/14476_01.jpg
011770,353,https://photo.anselmi.ind.br/Fotos/11770_353.jpg
015302,E56,https://photo.anselmi.ind.br/Fotos/15302_e56.jpg
046629,02,https://photo.anselmi.ind.br/Fotos/46629_02.jpg
011871,01,https://photo.anselmi.ind.br/Fotos/11871_01.jpg
015042,02,https://photo.anselmi.ind.br/Fotos/15042_02.jpg
047703,10,https://photo.anselmi.ind.br/Fotos/47703_10.jpg
011418,E24,https://photo.anselmi.ind.br/Fotos/11418_e24.jpg
016930,10,https://photo.anselmi.ind.br/Fotos/16930_10.jpg
014320,01,https://photo.anselmi.ind.br/Fotos/14320_01.jpg
046823,BORDO,https://photo.anselmi.ind.br/Fotos/46823_bordo.jpg
029229,2,https://photo.anselmi.ind.br/Fotos/29229_2.jpg
011993,10,https://photo.anselmi.ind.br/Fotos/11993_10.jpg
046863,01,https://photo.anselmi.ind.br/Fotos/46863_01.jpg
046744,10,https://photo.anselmi.ind.br/Fotos/46744_10.jpg
012948,01,https://photo.anselmi.ind.br/Fotos/12948_01.jpg
000485,01,https://photo.anselmi.ind.br/Fotos/00485_01.jpg
046084,10,https://photo.anselmi.ind.br/Fotos/46084_10.jpg
047482,01,https://photo.anselmi.ind.br/Fotos/47482_01.jpg
047350,03,https://photo.anselmi.ind.br/Fotos/47350_03.jpg
047460,05,https://photo.anselmi.ind.br/Fotos/47460_05.jpg
014471,03,https://photo.anselmi.ind.br/Fotos/14471_03.jpg
015048,E56,https://photo.anselmi.ind.br/Fotos/15048_e56.jpg
010591,02,https://photo.anselmi.ind.br/Fotos/10591_02.jpg
046765,10,https://photo.anselmi.ind.br/Fotos/46765_10.jpg
014648,02,https://photo.anselmi.ind.br/Fotos/14648_02.jpg
017253,10,https://photo.anselmi.ind.br/Fotos/17253_10.jpg
047399,03,https://photo.anselmi.ind.br/Fotos/47399_03.jpg
010579,01,https://photo.anselmi.ind.br/Fotos/10579_01.jpg
014084,02,https://photo.anselmi.ind.br/Fotos/14084_02.jpg
010905,01,https://photo.anselmi.ind.br/Fotos/10905_01.jpg
019000,10,https://photo.anselmi.ind.br/Fotos/19000_10.jpg
011308,10,https://photo.anselmi.ind.br/Fotos/11308_10.jpg
047400,PINK,https://photo.anselmi.ind.br/Fotos/47400_pink.jpg
012967,E20,https://photo.anselmi.ind.br/Fotos/12967_e20.jpg
011471,A67,https://photo.anselmi.ind.br/Fotos/11471_a67.jpg
028037,1590608379,https://photo.anselmi.ind.br/Fotos/28037_1590608379.jpg
046161,01,https://photo.anselmi.ind.br/Fotos/46161_01.jpg
027064,03,https://photo.anselmi.ind.br/Fotos/27064_03.jpg
017266,10,https://photo.anselmi.ind.br/Fotos/17266_10.jpg
046192,10,https://photo.anselmi.ind.br/Fotos/46192_10.jpg
046476,01,https://photo.anselmi.ind.br/Fotos/46476_01.jpg
011327,10,https://photo.anselmi.ind.br/Fotos/11327_10.jpg
046744,01,https://photo.anselmi.ind.br/Fotos/46744_01.jpg
019993,10,https://photo.anselmi.ind.br/Fotos/19993_10.jpg
047442,02,https://photo.anselmi.ind.br/Fotos/47442_02.jpg
018953,01,https://photo.anselmi.ind.br/Fotos/18953_01.jpg
029422,05,https://photo.anselmi.ind.br/Fotos/29422_05.jpg
027544,NATURAL,https://photo.anselmi.ind.br/Fotos/27544_natural.jpg
014616,02,https://photo.anselmi.ind.br/Fotos/14616_02.jpg
046276,10,https://photo.anselmi.ind.br/Fotos/46276_10.jpg
046590,10,https://photo.anselmi.ind.br/Fotos/46590_10.jpg
046104,1620049766,https://photo.anselmi.ind.br/Fotos/46104_1620049766.jpg
028888,01,https://photo.anselmi.ind.br/Fotos/28888_01.jpg
046234,10,https://photo.anselmi.ind.br/Fotos/46234_10.jpg
013200,03,https://photo.anselmi.ind.br/Fotos/13200_03.jpg
014835,01,https://photo.anselmi.ind.br/Fotos/14835_01.jpg
015015,E56,https://photo.anselmi.ind.br/Fotos/15015_e56.jpg
017585,02,https://photo.anselmi.ind.br/Fotos/17585_02.jpg
011935,01,https://photo.anselmi.ind.br/Fotos/11935_01.jpg
047508,02,https://photo.anselmi.ind.br/Fotos/47508_02.jpg
012160,02,https://photo.anselmi.ind.br/Fotos/12160_02.jpg
013080,10,https://photo.anselmi.ind.br/Fotos/13080_10.jpg
010445,01,https://photo.anselmi.ind.br/Fotos/10445_01.jpg
014320,04,https://photo.anselmi.ind.br/Fotos/14320_04.jpg
046513,01,https://photo.anselmi.ind.br/Fotos/46513_01.jpg
011727,03,https://photo.anselmi.ind.br/Fotos/11727_03.jpg
012331,10,https://photo.anselmi.ind.br/Fotos/12331_10.jpg
028838,1590608385,https://photo.anselmi.ind.br/Fotos/28838_1590608385.jpg
015579,01,https://photo.anselmi.ind.br/Fotos/15579_01.jpg
047457,01,https://photo.anselmi.ind.br/Fotos/47457_01.jpg
017076,10,https://photo.anselmi.ind.br/Fotos/17076_10.jpg
011871,02,https://photo.anselmi.ind.br/Fotos/11871_02.jpg
046667,10,https://photo.anselmi.ind.br/Fotos/46667_10.jpg
011501,04,https://photo.anselmi.ind.br/Fotos/11501_04.jpg
010090,10,https://photo.anselmi.ind.br/Fotos/10090_10.jpg
014320,02,https://photo.anselmi.ind.br/Fotos/14320_02.jpg
011471,C59,https://photo.anselmi.ind.br/Fotos/11471_c59.jpg
010055,10,https://photo.anselmi.ind.br/Fotos/10055_10.jpg
018760,10,https://photo.anselmi.ind.br/Fotos/18760_10.jpg
014772,01,https://photo.anselmi.ind.br/Fotos/14772_01.jpg
016791,10,https://photo.anselmi.ind.br/Fotos/16791_10.jpg
016989,C25,https://photo.anselmi.ind.br/Fotos/16989_c25.jpg
012608,10,https://photo.anselmi.ind.br/Fotos/12608_10.jpg
012929,03,https://photo.anselmi.ind.br/Fotos/12929_03.jpg
046004,03,https://photo.anselmi.ind.br/Fotos/46004_03.jpg
012937,01,https://photo.anselmi.ind.br/Fotos/12937_01.jpg
047541,03,https://photo.anselmi.ind.br/Fotos/47541_03.jpg
011501,02,https://photo.anselmi.ind.br/Fotos/11501_02.jpg
047524,03,https://photo.anselmi.ind.br/Fotos/47524_03.jpg
019295,10,https://photo.anselmi.ind.br/Fotos/19295_10.jpg
010436,04,https://photo.anselmi.ind.br/Fotos/10436_04.jpg
012233,10,https://photo.anselmi.ind.br/Fotos/12233_10.jpg
013373,B79,https://photo.anselmi.ind.br/Fotos/13373_b79.jpg
047733,11,https://photo.anselmi.ind.br/Fotos/47733_11.jpg
027988,01,https://photo.anselmi.ind.br/Fotos/27988_01.jpg
046365,AZUL,https://photo.anselmi.ind.br/Fotos/46365_azul.jpg
046025,10,https://photo.anselmi.ind.br/Fotos/46025_10.jpg
011474,E60,https://photo.anselmi.ind.br/Fotos/11474_e60.jpg
012502,01,https://photo.anselmi.ind.br/Fotos/12502_01.jpg
013057,10,https://photo.anselmi.ind.br/Fotos/13057_10.jpg
046642,B79,https://photo.anselmi.ind.br/Fotos/46642_b79.jpg
014962,10,https://photo.anselmi.ind.br/Fotos/14962_10.jpg
012945,01,https://photo.anselmi.ind.br/Fotos/12945_01.jpg
047509,01,https://photo.anselmi.ind.br/Fotos/47509_01.jpg
046593,10,https://photo.anselmi.ind.br/Fotos/46593_10.jpg
045744,01,https://photo.anselmi.ind.br/Fotos/45744_01.jpg
011900,C25,https://photo.anselmi.ind.br/Fotos/11900_c25.jpg
047719,10,https://photo.anselmi.ind.br/Fotos/47719_10.jpg
010436,02,https://photo.anselmi.ind.br/Fotos/10436_02.jpg
046239,05,https://photo.anselmi.ind.br/Fotos/46239_05.jpg
013230,10,https://photo.anselmi.ind.br/Fotos/13230_10.jpg
011268,C25,https://photo.anselmi.ind.br/Fotos/11268_c25.jpg
010028,10,https://photo.anselmi.ind.br/Fotos/10028_10.jpg
011689,10,https://photo.anselmi.ind.br/Fotos/11689_10.jpg
013782,10,https://photo.anselmi.ind.br/Fotos/13782_10.jpg
012956,D25,https://photo.anselmi.ind.br/Fotos/12956_d25.jpg
010404,10,https://photo.anselmi.ind.br/Fotos/10404_10.jpg
027506,16,https://photo.anselmi.ind.br/Fotos/27506_16.jpg
011609,01,https://photo.anselmi.ind.br/Fotos/11609_01.jpg
012220,01,https://photo.anselmi.ind.br/Fotos/12220_01.jpg
046393,10,https://photo.anselmi.ind.br/Fotos/46393_10.jpg
029249,ROSE,https://photo.anselmi.ind.br/Fotos/29249_rose.jpg
011339,01,https://photo.anselmi.ind.br/Fotos/11339_01.jpg
011381,10,https://photo.anselmi.ind.br/Fotos/11381_10.jpg
011654,10,https://photo.anselmi.ind.br/Fotos/11654_10.jpg
000414,01,https://photo.anselmi.ind.br/Fotos/414_01.jpg
018946,01,https://photo.anselmi.ind.br/Fotos/18946_01.jpg
016965,10,https://photo.anselmi.ind.br/Fotos/16965_10.jpg
046889,10,https://photo.anselmi.ind.br/Fotos/46889_10.jpg
017411,01,https://photo.anselmi.ind.br/Fotos/17411_01.jpg
